"Yellow_Fever_YN","log.Forest_Area_ha","log.area_mn_forest","log.forest_edge_density","log.Forest_Urban","NDVI_std","LST_Day_std","Precip_std","Population_Density_std","Region_Code","Year","Country","Code_unique","Code"
NA,7.77616583252413,1.4811894632209,3.92773026788912,1.38629436111989,1.00348996688574,-0.0521296746677611,1.56655369810307,-0.0870736194140944,"1006","2000","Peru","100605Peru",100605
NA,7.80015897370288,1.52005129565785,3.94435711479935,1.09861228866811,1.38174808031353,0.0171088859071792,1.89581934833684,-0.0678590190896184,"1006","2001","Peru","100605Peru",100605
NA,7.7844399434636,1.54534414644895,3.93107782699807,0.693147180559945,1.35560175386323,-0.0159630559273282,1.83471592210855,-0.0885913028081446,"1006","2002","Peru","100605Peru",100605
NA,7.78234029263391,1.49597788902286,3.95575833697188,1.79175946922805,1.38361093082164,-0.0492168108873893,1.52691103152268,-0.093703477210263,"1006","2003","Peru","100605Peru",100605
NA,7.74591580651515,1.39252816279201,3.96315480154428,1.38629436111989,1.33975116963634,-0.18284035398338,1.50782756865541,-0.0372347901514162,"1006","2004","Peru","100605Peru",100605
NA,7.8619235146153,1.52386194383235,3.98458297794015,1.38629436111989,1.34035040401082,-0.0592093758153047,1.44152155118111,-0.0300621159250283,"1006","2005","Peru","100605Peru",100605
NA,7.85465280744919,1.49484776067181,3.97163314673204,0.693147180559945,1.18094196177774,-0.0938979655288132,2.1102579165884,-0.0319378294303877,"1006","2006","Peru","100605Peru",100605
NA,7.90204355167802,1.49800357567422,4.029190152246,1.38629436111989,1.27496717560821,0.0234978330261463,1.99939933043812,-0.0307702340422496,"1006","2007","Peru","100605Peru",100605
NA,7.97877366705781,1.55003630197628,4.06642860520963,1.38629436111989,1.00267320640123,-0.15596264289798,1.68637155231718,-0.029184778015476,"1006","2008","Peru","100605Peru",100605
NA,7.95065751619164,1.53596568831785,4.03044782942364,1.79175946922805,1.01276329737017,-0.197891266623281,2.25647869750984,-0.0282708005263574,"1006","2009","Peru","100605Peru",100605
NA,7.76744179636069,1.47445284502822,3.90218049030642,1.94591014905531,1.42364312087627,0.145843116429202,1.57168659310699,-0.0272030638767476,"1006","2010","Peru","100605Peru",100605
NA,7.99106440257478,1.67345577019078,4.02114093432137,2.07944154167984,1.17539091731163,-0.0498660575554646,2.62168496326383,-0.0354451690685634,"1006","2011","Peru","100605Peru",100605
NA,8.08205310431827,1.73959241966307,4.0903009044868,1.94591014905531,0.930891377288384,0.0298525875122171,1.40426330634365,-0.0347054943192303,"1006","2012","Peru","100605Peru",100605
NA,8.09077611577337,1.70267516867497,4.12061718160666,1.94591014905531,1.40169224528981,-0.0405709572308844,2.0449315956137,-0.0337782799877831,"1006","2013","Peru","100605Peru",100605
NA,8.03885734546424,1.61620403302678,4.11601254302883,1.6094379124341,1.30961953279752,0.0518832170697115,1.49094578897171,-0.0329501831316937,"1006","2014","Peru","100605Peru",100605
NA,8.06443205236546,1.67117444781478,4.09016935525898,1.38629436111989,1.39472059220817,0.0485300765000492,1.02402372253211,0.0722978563298351,"1006","2015","Peru","100605Peru",100605
0,8.03157061905025,1.7422029318372,4.04784547049607,1.79175946922805,1.36047849326932,0.00695356249852878,1.02028527044254,0.141429436234099,"1006","2016","Peru","100605Peru",100605
1,7.99632059879444,1.57607350596489,4.05204549793507,1.38629436111989,1.24832639063339,0.0566567291080227,3.62792268861129,0.14380052532677,"1006","2017","Peru","100605Peru",100605
0,8.1739589438439,1.69350294235603,4.17476353970487,2.07944154167984,1.17845367632666,-0.067374815940189,2.33103920397889,0.167010004666077,"1006","2018","Peru","100605Peru",100605
0,8.22817689595132,1.64273051853218,4.23040602689671,2.30258509299405,1.21507747306448,-0.00465596698334447,2.15473505021944,0.169083529543198,"1006","2019","Peru","100605Peru",100605
0,8.18528611855993,1.55688462229973,4.25152561756109,1.79175946922805,1.60253294485335,0.181805539449046,1.70056016043281,0.179698735827718,"1006","2020","Peru","100605Peru",100605
0,8.2024468295039,1.60787651903891,4.28318725479847,3.25809653802148,1.49653268440845,-0.0259258811213085,1.1701750125245,0.182563400297146,"1006","2021","Peru","100605Peru",100605
NA,12.273068410794,4.55478041272558,3.04923582992064,1.09861228866811,0.855384984710375,-0.0672759936756524,1.42125194419916,-0.10253390374395,"1009","2000","Peru","100901Peru",100901
NA,12.2688236637859,4.53417713905994,3.08293678431557,1.09861228866811,1.06468876211709,0.0990853321329081,1.29199265753358,-0.110314672862897,"1009","2001","Peru","100901Peru",100901
NA,12.251813928486,4.36288507768267,3.15369203044098,1.09861228866811,0.978306628198575,-0.110111043963628,1.31899995467783,-0.110344297658933,"1009","2002","Peru","100901Peru",100901
NA,12.2441192080999,4.36188722563584,3.19014791444415,1.09861228866811,1.08713841756883,0.00303477593581683,1.36783884324475,-0.110455002910653,"1009","2003","Peru","100901Peru",100901
NA,12.2420520053999,4.34162694223283,3.22279880575308,1.09861228866811,1.04626182489317,-0.0278919451758522,1.41954427886525,-0.108674756842443,"1009","2004","Peru","100901Peru",100901
NA,12.2346060678805,4.29709551583463,3.26638882770152,1.09861228866811,0.964887648804638,0.0469589781998173,0.718633956989187,-0.107803475689051,"1009","2005","Peru","100901Peru",100901
NA,12.2342876326351,4.3662584092436,3.28490736966242,1.38629436111989,0.876906450551,-0.0170136218323683,1.42210503140212,-0.109384034141039,"1009","2006","Peru","100901Peru",100901
NA,12.2288982480487,4.36617512190532,3.31281188782535,1.09861228866811,0.951600765062915,0.0111268634870431,1.25371117523022,-0.109361884256263,"1009","2007","Peru","100901Peru",100901
NA,12.2172580055,4.304966060044,3.36120683721422,1.09861228866811,0.927733062052173,0.094466676184786,1.20338461590617,-0.109201971217091,"1009","2008","Peru","100901Peru",100901
NA,12.2066308896829,4.23437583058549,3.41006331671152,1.6094379124341,0.935589948682378,0.0290853523442061,1.52263485677836,-0.109098686888433,"1009","2009","Peru","100901Peru",100901
NA,12.191376585497,4.19389299016436,3.45440840722876,1.6094379124341,1.17008708214163,0.0950684794934519,0.725744288702998,-0.109000271313531,"1009","2010","Peru","100901Peru",100901
NA,12.1781184936483,4.16948681315238,3.48702184614312,2.30258509299405,0.87810872825349,0.02070046965077,1.92907019175976,-0.109290806341055,"1009","2011","Peru","100901Peru",100901
NA,12.1552183600273,4.05772953823213,3.52989433932982,2.07944154167984,1.0837648366034,0.208663645164273,1.15032937392378,-0.109683948390768,"1009","2012","Peru","100901Peru",100901
NA,12.1415061773354,3.92553888419391,3.56723959106518,2.30258509299405,1.11775192085243,0.0660755475691275,1.22928604307089,-0.109191522046985,"1009","2013","Peru","100901Peru",100901
NA,12.1313471057978,3.87789615625827,3.5912551395666,2.39789527279837,0.812617094503853,0.143528175751235,1.37702309746897,-0.109118554544887,"1009","2014","Peru","100901Peru",100901
NA,12.1068796272557,3.77723578315706,3.62225171068794,1.79175946922805,1.1329901458526,0.235081674640678,0.649396098435282,-0.109005611237004,"1009","2015","Peru","100901Peru",100901
1,12.1001290154497,3.73648233986885,3.65035881285059,2.30258509299405,1.15240770797873,0.15117064894119,0.994574945758103,-0.109355121007598,"1009","2016","Peru","100901Peru",100901
0,12.081882515712,3.60907655528906,3.69679457227477,1.79175946922805,1.16476726433711,0.267499053593164,2.67479173335876,-0.109278290895414,"1009","2017","Peru","100901Peru",100901
0,12.0516185780189,3.42061835279453,3.77051058381011,0.693147180559945,1.0077473308277,0.130626612864668,1.37083534837302,-0.110183309763841,"1009","2018","Peru","100901Peru",100901
0,12.0231867695381,3.26024432706564,3.83636708172464,0,0.933670687843973,0.191132945014906,1.7547259456165,-0.109853481145021,"1009","2019","Peru","100901Peru",100901
0,11.9988771207019,3.15110723802676,3.87660770478866,0,1.3543893267908,0.35786898997833,1.35164032898007,-0.106641742944438,"1009","2020","Peru","100901Peru",100901
0,11.935244215868,2.8111099673624,3.99457960451736,0,1.0630118678234,0.16891210395375,0.993177389575417,-0.106620864236297,"1009","2021","Peru","100901Peru",100901
NA,11.920805321891,4.40582390314132,3.05638329845267,0,1.12712064860078,0.0303552117755141,0.987394785677797,-0.0934234269851371,"1009","2000","Peru","100904Peru",100904
NA,11.9147590537536,4.35618887321616,3.09039169936157,0,1.16833045860152,0.155374295129023,0.995466358299391,-0.104560417752115,"1009","2001","Peru","100904Peru",100904
NA,11.8992347325705,4.25622233237741,3.1549743315331,0,1.15845031799243,0.067584983267572,0.714607119491024,-0.105887792181402,"1009","2002","Peru","100904Peru",100904
NA,11.8950321434034,4.19464665244785,3.19472619726737,1.09861228866811,1.41843217941765,0.0968708075554129,0.873879003899341,-0.106199140116773,"1009","2003","Peru","100904Peru",100904
NA,11.8904694477783,4.18664657381165,3.23264187848799,1.09861228866811,1.24284156814246,0.0374909550658296,1.07627852513159,-0.106886425953949,"1009","2004","Peru","100904Peru",100904
NA,11.8742763595921,4.16242649519092,3.28694588682627,1.09861228866811,1.07369984877457,0.0639120894488416,0.336384147279965,-0.107527344699234,"1009","2005","Peru","100904Peru",100904
NA,11.8608515691762,4.13500855902473,3.33756871621264,1.38629436111989,0.967895129801786,0.129474953568326,0.927861747026878,-0.109311978295273,"1009","2006","Peru","100904Peru",100904
NA,11.85248863402,4.09072003027791,3.3844790884019,1.38629436111989,1.17555253126221,0.206274005179117,0.911191426165053,-0.109126806893074,"1009","2007","Peru","100904Peru",100904
NA,11.8232708484697,3.95576024760862,3.49033698894556,0.693147180559945,1.12701536090108,0.20547879011209,0.924033259039671,-0.109069647809927,"1009","2008","Peru","100904Peru",100904
NA,11.7968668748592,3.84599010849694,3.58283756161089,1.79175946922805,0.987375048892822,0.101385800402974,1.10565336012493,-0.108939975184528,"1009","2009","Peru","100904Peru",100904
NA,11.773460827246,3.75916586845843,3.63167103233238,1.79175946922805,1.33822054548092,0.251274772936846,0.449167735024402,-0.108751591157039,"1009","2010","Peru","100904Peru",100904
NA,11.7481338624488,3.66279365961142,3.68724504592953,1.79175946922805,0.988392138248302,0.119061112091633,1.60732471955929,-0.109349341937297,"1009","2011","Peru","100904Peru",100904
NA,11.7153423349818,3.56321044881732,3.74383223125762,1.38629436111989,1.2696259304007,0.234390744822731,0.762449909589404,-0.109363393798333,"1009","2012","Peru","100904Peru",100904
NA,11.6933167433082,3.46836505126622,3.78453691891232,1.38629436111989,1.21409338243554,0.15198417500184,0.841450545758823,-0.109269761969251,"1009","2013","Peru","100904Peru",100904
NA,11.6704776103915,3.41681150095768,3.80970626401051,1.38629436111989,0.922227239688688,0.116713745562789,1.09644264225175,-0.109186166219592,"1009","2014","Peru","100904Peru",100904
NA,11.6356372233819,3.31717705956987,3.83581596995537,2.07944154167984,1.13109909351802,0.278919932531401,0.50493596654821,-0.109110109340623,"1009","2015","Peru","100904Peru",100904
1,11.6263744109028,3.26596268333587,3.85764245329618,2.07944154167984,1.21708494150826,0.241148603323458,0.82206338151686,-0.108841389433255,"1009","2016","Peru","100904Peru",100904
0,11.5889236352876,3.1453615340148,3.89511771609956,1.94591014905531,1.30323215380167,0.353388350498772,2.30095673376267,-0.108787888423442,"1009","2017","Peru","100904Peru",100904
0,11.5637325461753,3.04462192580347,3.93165845661824,1.94591014905531,1.0936799016108,0.230806919631462,1.09146721461478,-0.108817166508539,"1009","2018","Peru","100904Peru",100904
0,11.5225896162641,2.87780582754838,3.99222815647317,1.94591014905531,1.11942225193705,0.300935292204635,1.59962032937037,-0.108578507594952,"1009","2019","Peru","100904Peru",100904
0,11.4914253858175,2.75028576654803,4.03473856696899,1.6094379124341,1.56482168325197,0.423916767125416,1.11736713619929,-0.110051692017428,"1009","2020","Peru","100904Peru",100904
0,11.4709350798141,2.63502750679818,4.07808160307932,1.79175946922805,1.16825356835084,0.307473085141671,0.749841073532964,-0.109955974681592,"1009","2021","Peru","100904Peru",100904
NA,12.8127053801553,3.76002378884563,3.51639789632488,0.693147180559945,0.536143448988569,-0.169309799576942,2.30704634183147,-0.0977069162757422,"104","2000","Peru","10401Peru",10401
NA,12.8097646746054,3.69030851794009,3.55568092006787,0.693147180559945,0.965943942621291,-0.127950389327889,2.05554449154934,-0.108741147839312,"104","2001","Peru","10401Peru",10401
NA,12.8214431323999,3.88280819233839,3.44101669476274,0.693147180559945,0.555307297946274,-0.249531556145278,2.54256538623603,-0.109304961625486,"104","2002","Peru","10401Peru",10401
NA,12.8210553991757,3.89560907782927,3.43271545767689,0.693147180559945,0.775315420346872,-0.137793035740575,1.8136226048066,-0.108051072519839,"104","2003","Peru","10401Peru",10401
NA,12.8192955759835,3.8817123582909,3.44110053840991,1.09861228866811,0.714185869777698,-0.283335153173569,1.94702304249174,-0.108294374720385,"104","2004","Peru","10401Peru",10401
NA,12.773064619537,3.37727886893518,3.67935645732363,0.693147180559945,0.832616938420572,-0.266852435311421,1.96446080623567,-0.107386927133461,"104","2005","Peru","10401Peru",10401
NA,12.8061275249736,3.72640802414318,3.51128427320756,1.09861228866811,0.782983808156827,-0.170898604938623,1.77090398954727,-0.106009618522687,"104","2006","Peru","10401Peru",10401
NA,12.8142860348783,3.81178621356749,3.48283102900385,0.693147180559945,1.02786760798388,-0.151801033613166,1.94838555692326,-0.106006450547622,"104","2007","Peru","10401Peru",10401
NA,12.8131537476196,3.82145154120673,3.47781326785071,0.693147180559945,0.716034948896399,-0.251094911741078,2.1932784202836,-0.105828763743989,"104","2008","Peru","10401Peru",10401
NA,12.8159270447275,3.84583770683011,3.46590610513366,0.693147180559945,0.485643073573651,-0.300467775630631,2.24487307811402,-0.105662027612289,"104","2009","Peru","10401Peru",10401
NA,12.8114779641795,3.80845192616521,3.51129061029502,0.693147180559945,1.05401359555748,-0.00821057110463358,1.68008209320461,-0.10550660812798,"104","2010","Peru","10401Peru",10401
NA,12.7945171218047,3.65109336438514,3.6422526952594,0.693147180559945,0.827619407121377,-0.163014070182907,1.61939168912835,-0.106518661794099,"104","2011","Peru","10401Peru",10401
